ledger_row_id,edge_role,from_A,from_B,from_C,from_slot,from_fiber,to_A,to_B,to_C,to_slot,to_fiber,slot_delta_mod15,fiber_delta_mod60,derived.C_delta_mod15,derived.boundary_gap,derived.boundary_gap_sign,derived.inside_captured,form_index
0,WX,7,11,14,11,14,7,14,11,14,11,3,57,12,-54,neg,no,0
1,XY,7,14,11,14,11,3,14,2,14,2,0,51,6,-51,neg,no,0
2,YZ,3,14,2,14,2,3,2,14,2,14,3,12,12,-9,neg,no,0
3,ZT,3,2,14,2,14,1,2,11,2,11,0,57,12,-57,neg,no,0
4,TI,1,2,11,2,11,1,11,2,11,2,9,51,6,-42,neg,no,0
5,IW,1,11,2,11,2,7,11,14,11,14,0,12,12,-12,neg,no,0
6,WX,9,13,10,13,10,9,10,13,10,13,12,3,3,9,pos,yes,1
7,XY,9,10,13,10,13,0,10,1,10,1,0,48,3,-48,neg,no,1
8,YZ,0,10,1,10,1,0,1,10,1,10,6,9,9,-3,neg,no,1
9,ZT,0,1,10,1,10,2,1,13,1,13,0,3,3,-3,neg,no,1
10,TI,2,1,13,1,13,2,13,1,13,1,12,48,3,-36,neg,no,1
11,IW,2,13,1,13,1,9,13,10,13,10,0,9,9,-9,neg,no,1
12,WX,1,2,0,2,0,1,0,2,0,2,13,2,2,11,pos,yes,2
13,XY,1,0,2,0,2,10,0,5,0,5,0,3,3,-3,neg,no,2
14,YZ,10,0,5,0,5,10,5,0,5,0,5,55,10,-50,neg,no,2
15,ZT,10,5,0,5,0,12,5,2,5,2,0,2,2,-2,neg,no,2
16,TI,12,5,2,5,2,12,2,5,2,5,12,3,3,9,pos,yes,2
17,IW,12,2,5,2,5,1,2,0,2,0,0,55,10,-55,neg,no,2
18,WX,3,4,2,4,2,3,2,4,2,4,13,2,2,11,pos,yes,3
19,XY,3,2,4,2,4,12,2,5,2,5,0,1,1,-1,neg,no,3
20,YZ,12,2,5,2,5,12,5,2,5,2,3,57,12,-54,neg,no,3
21,ZT,12,5,2,5,2,10,5,4,5,4,0,2,2,-2,neg,no,3
22,TI,10,5,4,5,4,10,4,5,4,5,14,1,1,13,pos,yes,3
23,IW,10,4,5,4,5,3,4,2,4,2,0,57,12,-57,neg,no,3
